Variable,Term,Beta,StandardError,Z,P,LRT,Wald,LogRank,HR,HRlower,HRupper
ILMN_1681949,ILMN_1681949,0.576561329,0.144811222,3.981468558,6.85E-05,0.00011853,6.85E-05,6.10E-05,1.77990738,1.340089695,2.364073309
ILMN_1658333,ILMN_1658333,0.3151414,0.078376014,4.020890898,5.80E-05,0.000551649,5.80E-05,6.13E-05,1.37045308,1.175304469,1.598004342
ILMN_1666449,ILMN_1666449,-0.44093068,0.110993394,-3.97258488,7.11E-05,8.28E-05,7.11E-05,6.13E-05,0.643437308,0.517640788,0.799804765
ILMN_1695251,ILMN_1695251,0.404212497,0.100981596,4.002833298,6.26E-05,9.67E-05,6.26E-05,6.29E-05,1.498122259,1.229112304,1.826009143
ILMN_1730077,ILMN_1730077,-0.531891571,0.133037734,-3.99805045,6.39E-05,7.55E-05,6.39E-05,6.30E-05,0.587492634,0.452647891,0.762507904
ILMN_1667295,ILMN_1667295,0.481365311,0.120206999,4.004469912,6.22E-05,4.02E-05,6.22E-05,6.32E-05,1.618282354,1.278597689,2.04821094
ILMN_1848232,ILMN_1848232,-0.488016263,0.122784932,-3.974561482,7.05E-05,6.35E-05,7.05E-05,6.62E-05,0.61384289,0.482550206,0.780857802
ILMN_1780732,ILMN_1780732,0.440727199,0.111397431,3.956349766,7.61E-05,8.81E-05,7.61E-05,6.66E-05,1.553836756,1.249061222,1.932978642
ILMN_1698706,ILMN_1698706,0.446099312,0.112420204,3.96814183,7.24E-05,0.000289413,7.24E-05,6.88E-05,1.562206605,1.253274545,1.94729039
ILMN_1671747,ILMN_1671747,0.505790831,0.127032586,3.981583378,6.85E-05,0.00030682,6.85E-05,6.92E-05,1.658296435,1.292801461,2.127122492
ILMN_1759480,ILMN_1759480,0.636637956,0.179742953,3.541935546,0.000397203,0.00607688,0.000397203,7.04E-05,1.890115533,1.328895626,2.68835013
ILMN_1684919,ILMN_1684919,0.29808251,0.079005524,3.772932514,0.00016134,0.00481813,0.00016134,7.11E-05,1.347272946,1.154000416,1.572914851
ILMN_1886059,ILMN_1886059,-0.507768543,0.127283799,-3.989262953,6.63E-05,4.62E-05,6.63E-05,7.15E-05,0.601837055,0.468958873,0.772365897
ILMN_1793805,ILMN_1793805,-0.449797892,0.113713733,-3.955528339,7.64E-05,1.02E-05,7.64E-05,7.16E-05,0.637757035,0.510342754,0.796982091
ILMN_1722811,ILMN_1722811,0.381063383,0.095618209,3.985259559,6.74E-05,7.21E-05,6.74E-05,7.26E-05,1.463840385,1.213677658,1.765566549
ILMN_1727084,ILMN_1727084,0.483356645,0.11136289,4.340374481,1.42E-05,0.000333556,1.42E-05,7.36E-05,1.621508105,1.303547497,2.017025495
ILMN_1683774,ILMN_1683774,0.41397774,0.104276745,3.969991016,7.19E-05,0.000315771,7.19E-05,7.41E-05,1.512823451,1.233183548,1.855875224
ILMN_1755415,ILMN_1755415,0.574348228,0.14153074,4.058116482,4.95E-05,0.00047733,4.95E-05,7.41E-05,1.77597262,1.345752149,2.343729304
ILMN_1675721,ILMN_1675721,-0.472911346,0.118168376,-4.002012724,6.28E-05,1.43E-05,6.28E-05,8.08E-05,0.623185316,0.494347233,0.785601522
ILMN_1655798,ILMN_1655798,0.551196352,0.141354223,3.899397838,9.64E-05,0.000139867,9.64E-05,8.67E-05,1.73532784,1.315408371,2.289298729
ILMN_1714602,ILMN_1714602,0.443718854,0.113740895,3.90113737,9.57E-05,0.000305631,9.57E-05,8.79E-05,1.558492261,1.247062515,1.947695563
ILMN_1795411,ILMN_1795411,0.515919012,0.130902864,3.94123547,8.11E-05,2.54E-05,8.11E-05,8.82E-05,1.675177303,1.296092686,2.165137591
ILMN_1785036,ILMN_1785036,0.361324255,0.09309113,3.881403681,0.000103855,0.000334356,0.000103855,8.96E-05,1.435228765,1.195864067,1.722504811
ILMN_1751576,ILMN_1751576,0.511141086,0.127517926,4.008386142,6.11E-05,0.000305762,6.11E-05,9.10E-05,1.667192521,1.298501029,2.140568886
ILMN_1664464,ILMN_1664464,0.478075366,0.125696572,3.803408158,0.000142719,0.000641151,0.000142719,9.13E-05,1.612967042,1.260759873,2.063567167
ILMN_1676372,ILMN_1676372,0.330140025,0.086611843,3.811719182,0.000138004,0.000764144,0.000138004,9.33E-05,1.391162912,1.173961505,1.648550008
ILMN_1652878,ILMN_1652878,0.341007961,0.087744276,3.886384103,0.000101748,0.000246214,0.000101748,9.77E-05,1.406364437,1.184158433,1.670267148
